PLZ;Stadt;Lat;Lon;LatMax;LatMin;LonMax;LonMin;Filename
1067;Dresden, Germany;510.575.496;137.170.648;51.075.963;510.434.349;137.473.899;13.690.393;01067.json
1069;Dresden, Germany;510.391.349;137.376.748;51.056.633;510.196.478;13.758.394;137.113.219;01069.json
1097;Dresden, Germany;510.659.081;137.361.525;51.085.425;51.053.568;137.552.361;137.244.381;01097.json
1099;Neustadt, Dresden, Germany;510.746.657;137.741.132;51.096.542;510.545.379;137.976.491;13.719.187;01099.json
1108;Dresden, Germany;511.443.239;137.997.057;5.117.815;511.285.391;138.371.901;13.742.293;01108.json
1109;Klotzsche,  Dresden, Germany;511.204.084;137.503.984;511.219.864;511.185.248;137.528.538;137.482.693;01109.json
1127;Dresden, Germany;510.779.366;137.224.379;51.093.411;51.068.225;13.749.088;137.138.561;01127.json
1129;Dresden, Germany;510.943.744;137.205.411;51.111.412;510.815.209;137.665.001;136.889.841;01129.json
1139;Dresden, Germany;510.747.119;136.846.314;51.096.168;51.063.196;137.175.141;136.580.361;01139.json
1156;Dresden, Germany;51.085.544;136.276.849;51.102.745;5.103.038;13.662.932;13.579.469;01156.json
1157;Dresden, Germany;510.634.134;136.678.312;51.088.973;510.474;136.999.699;136.423.051;01157.json
1159;Löbtau, Dresden, Germany;510.422.862;137.001.358;51.049.151;51.030.015;137.112.518;136.887.939;01159.json
1169;Dresden, Germany;510.440.539;136.665.997;51.053.953;51.027.455;136.808.201;1.364.707;01169.json
1187;Plauen, Dresden, Germany;510.266.014;137.090.684;51.038.366;51.021.106;13.722.643;13.700.282;01187.json
1189;Dresden, Germany;510.144.934;136.972.162;510.223.851;510.023.889;137.295.919;136.761.399;01189.json
1217;Dresden, Germany;510.144.606;137.439.601;51.033.354;509.997.361;13.762.488;137.130.489;01217.json
1219;Dresden, Germany;51.024.895;137.678.094;51.045.888;509.996.611;13.788.156;13.746.687;01219.json
1237;Dresden, Germany;510.134.206;137.913.392;51.030.437;51.005.764;138.181.469;13.777.941;01237.json
1239;Dresden, Germany;509.957.514;137.886.884;51.012.839;50.987.968;138.111.321;137.645.041;01239.json
1257;Dresden, Germany;509.980.905;13.813.979;51.020.925;509.759.309;138.447.809;137.875.611;01257.json
1259;Dresden, Germany;510.009.506;138.564.276;51.017.603;5.097.813;138.836.001;13.809.892;01259.json
1277;Dresden, Germany;510.374.106;137.964.562;510.529.321;510.228.331;138.180.979;137.695.569;01277.json
1279;Dresden, Germany;510.229.541;138.339.001;510.429.861;510.117.211;13.847.358;138.041.891;01279.json
1307;Dresden, Germany;510.566.797;137.688.263;51.063.362;51.041.415;13.788.688;137.542.391;01307.json
1309;Dresden, Germany;510.491.316;137.874.211;510.626.701;51.034.707;138.092.759;13.766.575;01309.json
1324;Buehlau, Dresden, Germany;510.618.896;13.854.905;51.066.524;51.047.807;138.708.608;138.339.361;01324.json
1326;Loschwitz, Dresden, Germany;510.542.554;138.145.314;51.069.445;510.384.029;138.364.389;13.780.373;01326.json
1328;Weißig, Dresden, Germany;510.611.037;138.868.079;510.721.029;51.048.285;13.928.917;138.655.598;01328.json
1445;Radebeul, Germany;511.115.439;136.433.181;511.414.279;510.884.349;13.701.015;1.358.228;01445.json
1454;Wachau, Germany;511.372.153;139.178.698;51.203.085;510.611.019;139.892.191;13.850.548;01454.json
1458;Ottendorf-Okrilla, Germany;511.751.105;138.246.035;51.202.334;51.145.868;138.728.231;137.638.761;01458.json
1465;Dresden, Germany;511.260.965;138.417.809;51.158.283;51.094.576;13.890.291;138.166.481;01465.json
1468;Moritzburg, Germany;51.167.684;136.637.681;512.099.819;511.077.681;13.762.558;13.594.075;01468.json
1471;Radeburg, Germany;512.011.969;137.403.313;512.365.951;51.137.683;137.955.249;136.589.811;01471.json
1477;Arnsdorf, Germany;510.946.097;139.891.512;51.126.581;51.061.905;140.482.141;13.924.048;01477.json
1558;Grossenhain, Germany;512.884.296;135.441.928;51.319.078;51.257.191;136.157.139;13.452.902;01558.json
1561;Grossenhain, Germany;512.912.275;13.531.304;513.856.795;512.610.154;136.286.292;13.416.364;01561.json
1587;Riesa, Germany;513.000.708;132.678.421;513.013.165.803;512.986.186.197;132.692.849.803;132.665.870.197;01587.json
1589;Poppitz,  Riesa, Germany;512.907.506;133.241.013;512.935.681;512.869.302;133.313.656;133.182.019;01589.json
1591;Merzdorfer Str.,  Riesa, Germany;513.171.207;132.603.193;513.196.424;5.131.565;132.697.211;132.501.242;01591.json
1594;Stauchitz, Germany;512.606.788;132.323.241;512.965.609;51.202.304;13.405.242;131.922.821;01594.json
1609;Gröditz, Germany;514.110.818;134.471.558;514.309.962;513.958.854;134.755.888;134.167.378;01609.json
1612;Glaubitz, Germany;512.991.786;133.900.947;513.459.999;51.226.629;134.578.251;133.453.459;01612.json
1616;Strehla, Germany;513.639.725;132.150.623;5.141.122;51.325.473;132.929.089;1.318.185;01616.json
1619;Zeithain, Germany;51.356.403;133.251.086;51.437.438;51.293.345;133.883.161;132.291.729;01619.json
1623;Lommatzsch, Germany;512.021.198;132.783.877;512.486.191;51.093.072;133.836.179;132.084.498;01623.json
1640;Coswig, Germany;51.131.589;135.638.128;51.161.428;51.104.779;13.643.035;13.502.274;01640.json
1662;Meissen, Germany;511.632.952;13.475.152;51.192.291;51.125.396;135.391.399;134.245.549;01662.json
1665;Heinrich-Zille-Straße 15, 01445 Radebeul, Germany;511.087.126;136.486.099;511.100.615.803;511.073.636.197;136.499.588.803;136.472.609.197;01665.json
1683;Nossen, Germany;510.799.296;133.231.137;511.292.158;51.008.162;13.428.392;132.309.719;01683.json
1689;Weinböhla, Germany;511.810.234;135.509.434;512.249.321;51.143.894;136.313.969;1.347.807;01689.json
1705;Freital, Germany;510.002.571;136.401.737;510.360.569;509.532;136.975.561;135.796.989;01705.json
1723;Wilsdruff, Germany;510.502.972;135.362.057;51.066.566;509.807.509;136.088.961;13.420.632;01723.json
1728;Bannewitz, Germany;509.902.277;137.244.064;51.009.959;509.512.019;137.906.409;13.673.645;01728.json
1731;Kreischa, Germany;509.442.869;137.586.934;50.988.527;50.914.896;13.807.426;136.993.779;01731.json
1734;Rabenau, Germany;509.492.918;136.668.556;50.985.483;509.125.405;13.720.491;135.920.999;01734.json
1737;Tharandt, Germany;509.700.656;135.362.012;51.026.917;50.922.168;13.610.645;13.428.285;01737.json
1738;Dorfhain, Germany;509.308.286;135.539.209;509.486.699;50.920.886;135.837.789;13.523.792;01738.json
1744;Dippoldiswalde, Germany;508.733.147;136.365.623;509.502.821;507.706.796;13.730.009;13.580.542;01744.json
1762;Hartmannsdorf-Reichenau, Germany;508.107.286;135.834.367;50.847.855;50.772.106;136.338.428;135.203.991;01762.json
1768;Glashütte, Germany;508.507.042;137.757.788;50.932.847;50.805.771;138.289.865;136.669.409;01768.json
1773;Altenberg, Germany;507.639.531;137.578.889;508.336.312;507.167.049;138.166.083;136.517.905;01773.json
1774;Höckendorf,  Klingenberg, Germany;509.321.898;135.860.092;509.392.215;509.251.571;136.020.166;135.700.018;01774.json
1776;Hermsdorf, Germany;507.646.292;136.261.429;507.846.204;507.303.156;136.904.591;13.598.659;01776.json
1778;Geising, Germany;507.569.262;137.923.125;50.813.997;507.239.289;139.031.329;137.737.541;01778.json
1796;Dohma, Germany;509.211.285;139.294.286;509.348.392;508.763.838;139.927.491;139.075.376;01796.json
1809;Heidenau, Germany;509.758.426;138.661.223;509.930.355;509.434.788;139.067.279;138.216.146;01809.json
1814;Rathmannsdorf, Germany;508.882.817;141.998.701;509.616.459;508.422.929;143.122.589;140.764.459;01814.json
1816;Bad Gottleuba-Berggießhübel, Germany;508.484.584;139.407.149;50.868.581;507.884.209;14.039.703;13.860.027;01816.json
1819;Bahretal, Germany;508.744.768;139.492.958;509.295.089;50.829.333;140.348.489;138.608.569;01819.json
1824;Königstein, Germany;509.178.107;140.753.506;509.459.126;508.873.209;14.127.098;13.994.323;01824.json
1825;Liebstadt, Germany;508.618.191;138.521.893;509.136.421;50.802.585;139.016.829;138.093.429;01825.json
1829;Stadt Wehlen, Germany;509.578.373;14.024.747;509.784.709;509.447.101;14.053.772;13.973.377;01829.json
1833;Stolpen, Germany;510.488.464;140.790.883;51.090.459;50.995.262;1.416.457;139.379.951;01833.json
1844;Neustadt in Sachsen, Germany;510.236.392;142.134.443;510.876.723;509.770.043;143.204.158;141.463.444;01844.json
1847;Lohmen, Germany;509.891.752;139.963.251;510.094.611;50.960.033;14.078.963;139.527.389;01847.json
1848;Hohnstein, Germany;509.889.401;141.559.133;51.027.286;50.938.864;14.228.663;140.373.721;01848.json
1855;Kirnitzschtal,  Sebnitz, Germany;509.430.011;142.649.838;509.616.008;508.869.861;143.610.961;141.584.943;01855.json
1877;Bischofswerda, Germany;511.252.883;141.842.026;511.706.668;510.664.906;142.300.507;141.205.289;01877.json
1896;Lichtenberg, Germany;511.905.921;140.051.025;512.395.261;51.154.471;141.072.859;139.276.359;01896.json
1900;Bretnig-Hauswalde, Germany;511.465.467;140.245.274;511.722.811;51.116.734;14.112.486;139.534.139;01900.json
1904;Neukirch/Lausitz, Germany;510.969.696;143.066.911;51.114.182;51.038.447;14.390.265;14.264.399;01904.json
1906;Burkau, Germany;511.757.343;141.795.979;512.198.289;511.555.621;142.684.201;1.412.668;01906.json
1909;Großharthau, Germany;511.080.816;141.052.967;511.486.251;510.736.429;14.133.108;140.017.519;01909.json
1917;Kamenz, Germany;512.841.235;141.133.767;513.339.729;512.298.579;141.728.239;140.381.299;01917.json
1920;Kamenz, Germany;512.749.068;14.102.488;513.348.161;512.300.518;141.742.971;140.395.946;01920.json
1936;Königsbrück, Germany;512.678.455;138.994.289;51.383.712;512.307.492;139.491.992;137.972.972;01936.json
1945;Ruhland, Germany;514.546.649;138.630.854;514.687.092;514.034.786;139.076.782;137.936.274;01945.json
1968;Senftenberg, Germany;515.050.323;139.693.262;51.573.652;514.717.331;141.423.239;139.032.831;01968.json
1979;Lauchhammer, Germany;514.977.789;137.730.322;5.155.399;514.560.577;138.725.203;136.309.684;01979.json
1983;Großräschen, Germany;515.879.761;140.109.679;516.300.599;515.578.239;141.113.507;13.866.296;01983.json
1987;Schwarzheide, Germany;514.808.978;13.858.585;51.513.567;514.592.979;13.933.249;13.797.474;01987.json
1990;Ortrand, Germany;513.756.454;137.611.107;514.012.194;513.590.586;137.848.533;137.370.301;01990.json
1993;Schipkau, Germany;515.168.382;138.977.333;515.316.831;51.483.624;139.149.799;13.847.622;01993.json
1994;Annahütte, Schipkau, Germany;515.634.312;138.852.776;515.779.082;515.522.158;139.156.342;138.463.363;01994.json
1996;Senftenberg, Germany;514.550.595;140.256.589;514.833.751;51.434.523;14.062.514;13.990.327;01996.json
1998;Schipkau, Germany;515.410.754;138.921.507;51.560.132;51.522.754;139.427.349;13.829.873;01998.json
2625;Bautzen, Germany;511.815.867;144.230.008;51.230.499;511.373.659;144.916.441;143.238.999;02625.json
2627;Markt 1, 01454 Radeberg, Germany;51.118.519;13.922.811;511.198.679.803;511.171.700.197;139.241.599.803;139.214.620.197;02627.json
2633;Markt 1, 01454 Radeberg, Germany;51.118.519;13.922.811;511.198.679.803;511.171.700.197;139.241.599.803;139.214.620.197;02633.json
